Date,Payee,Category,Amount
2020-03-02,Chase Mortgage,Home:Mortgage,-5297.0
2020-03-02,Alimony,Home,-2200.0
2020-03-30,Alimony,Home,-2200.0
2020-04-01,Chase Mortgage,Home:Mortgage,-5297.0
2020-04-29,Alimony,Home,-2200.0
2020-05-01,Chase Mortgage,Home:Mortgage,-5297.0
2020-05-01,Chase Mortgage,Home:Mortgage,-5297.0
2020-05-28,Alimony,Home,-2200.0
2020-06-01,Chase Mortgage,Home:Mortgage,-5297.0
2020-06-29,Alimony,Home,-2200.0
2020-07-01,Chase Mortgage,Home:Mortgage,-5297.0
2020-07-29,Alimony,Home,-2200.0
2020-08-03,Chase Mortgage,Home:Mortgage,-5425.0
2020-08-28,Alimony,Home,-2200.0
2020-09-01,Chase Mortgage,Home:Mortgage,-5425.0
2020-09-29,Alimony,Home,-2200.0
2020-10-01,Chase Mortgage,Home:Mortgage,-5425.0
2020-10-28,Alimony,Home,-2200.0
2020-11-02,Chase Mortgage,Home:Mortgage,-5425.0
2020-11-27,Alimony,Home,-2200.0
2020-12-01,Chase Mortgage,Home:Mortgage,-5425.0
2020-12-29,Alimony,Home,-2200.0
2021-01-04,Chase Mortgage,Home:Mortgage,-5425.0
2021-01-28,Alimony,Home,-2200.0
2021-02-01,Chase Mortgage,Home:Mortgage,-5425.0
2021-02-25,Alimony,Home,-2200.0
2021-03-01,Chase Mortgage,Home:Mortgage,-5425.0
2021-03-30,Alimony,Home,-2200.0
2021-04-01,Chase Mortgage,Home:Mortgage,-5425.0
2021-04-28,Alimony,Home,-2200.0
2021-05-03,Chase Mortgage,Home:Mortgage,-5425.0
2021-05-27,Alimony,Home,-2200.0
2021-06-01,Chase Mortgage,Home:Mortgage,-5425.0
2021-06-29,Alimony,Home,-2200.0
2021-07-01,Chase Mortgage,Home:Mortgage,-5425.0
2021-07-28,Alimony,Home,-2200.0
2021-08-02,Chase Mortgage,Home:Mortgage,-5307.0
2021-08-30,Alimony,Home,-2200.0
2021-09-01,Chase Mortgage,Home:Mortgage,-5307.82
2021-09-01,Chase Mortgage,Home:Mortgage,-5307.0
2021-09-03,Nes Global Llc   Direct Dep                 Ppd Id: 9111111102,Uncategorized,6079.53
2021-09-03,Timber Consulting,Personal Income:Paycheck,6580.07
2021-09-03,American Gen Lif Ins Paymt                  Ppd Id: 4250598210,Uncategorized,-102.03
2021-09-15,Dentegra         Premium    466091015688    Web Id: 4942761537,Uncategorized,-21.79
2021-09-17,Online Payment 12406341794 To Kaiser Permanente 09/17,Uncategorized,-610.74
2021-09-17,Timber Consulting,Personal Income:Paycheck,6580.67
2021-09-27,Chase Mortgage,Home:Mortgage,-3445.44
2021-09-29,Alimony,Home,-2200.0
2021-10-01,Chase Mortgage,Home:Mortgage,-5307.82
2021-10-01,Timber Consulting,Personal Income:Paycheck,6580.07
2021-10-01,Chase Mortgage,Home:Mortgage,-5307.0
2021-10-05,American Gen Lif Ins Paymt                  Ppd Id: 4250598210,Uncategorized,-102.03
2021-10-13,Tax Prep,Uncategorized,-75.0
2021-10-15,Timber Consulting,Personal Income:Paycheck,6580.07
2021-10-15,Dentegra         Premium    466682142692    Web Id: 4942761537,Uncategorized,-21.79
2021-10-18,Online Payment 12609764925 To Kaiser Permanente 10/18,Uncategorized,-610.74
2021-10-21,Dania 4258239160 Wa                          10/20,Uncategorized,-2502.57
2021-10-25,Chase Mortgage,Home:Mortgage,-3470.86
2021-10-25,PCC Market,Groceries,-6.99
2021-10-28,Alimony,Home,-2200.0
2021-10-29,Timber Consulting,Personal Income:Paycheck,6580.07
2021-10-29,Amli Spring District,Home:Rent,-2890.32
2021-11-01,Chase Mortgage,Home:Mortgage,-5307.82
2021-11-01,Chase Mortgage,Home:Mortgage,-5307.0
2021-11-03,American Gen Lif Ins Paymt                  Ppd Id: 4250598210,Uncategorized,-102.03
2021-11-08,Atm Check Deposit 11/08 123 Bellevue Way Ne Bellevue Wa,Uncategorized,619.02
2021-11-12,Timber Consulting,Personal Income:Paycheck,6580.07
2021-11-15,Dentegra         Premium    466970491832    Web Id: 4942761537,Uncategorized,-21.79
2021-11-17,Online Payment 12823524131 To Kaiser Permanente 11/17,Uncategorized,-610.74
2021-11-22,ATM,Cash & ATM,-20.0
2021-11-26,Chase Mortgage,Home:Mortgage,-3609.09
2021-11-26,Timber Consulting,Personal Income:Paycheck,6580.07
2021-11-29,Alimony,Home,-2200.0
2021-12-01,Chase Mortgage,Home:Mortgage,-5307.0
2021-12-01,Chase Mortgage,Home:Mortgage,-5307.82
2021-12-02,Zelle Payment To Hi Rollerz Furniture Assembly Jpm873772132,Uncategorized,-70.0
2021-12-03,American Gen Lif Ins Paymt                  Ppd Id: 4250598210,Uncategorized,-102.03
2021-12-06,Amli Spring District,Home:Rent,-2594.03
2021-12-06,Zelle Payment To Luis Cleaning Jpm878397609,Uncategorized,-160.0
2021-12-10,Timber Consulting,Personal Income:Paycheck,6581.27
2021-12-17,Online Payment 13035272134 To Kaiser Permanente 12/17,Uncategorized,-610.74
2021-12-24,Timber Consulting,Personal Income:Paycheck,6580.07
2021-12-24,Chase Mortgage,Home:Mortgage,-2587.22
2021-12-29,Alimony,Home,-2200.0
2022-01-03,Amli Spring District,Home:Rent,-2593.2
2022-01-03,Chase Mortgage,Home:Mortgage,-5307.82
2022-01-05,American Gen Lif Ins Paymt                  Ppd Id: 4250598210,Uncategorized,-102.03
2022-01-07,Timber Consulting,Personal Income:Paycheck,6537.41
2022-01-18,Panda Express,Dining & Drinks:Restaurants,-12.88
2022-01-18,Earls,Dining & Drinks:Restaurants,-39.77
2022-01-18,Starbucks,Dining & Drinks:Restaurants,-4.13
2022-01-18,Paddy Coynes Irish Pub Bellevue Wa           01/18,Uncategorized,-58.76
2022-01-18,Online Payment 13251800924 To Kaiser Permanente 01/18,Uncategorized,-640.0
2022-01-18,Five Guys,Dining & Drinks:Restaurants,-24.96
2022-01-18,Panda Express,Dining & Drinks:Restaurants,-12.88
2022-01-19,Psi Services Llc Usd 818-847-6180 Ca         01/19,Uncategorized,-300.0
2022-01-19,Panda Express,Dining & Drinks:Restaurants,-13.1
2022-01-19,Starbucks,Dining & Drinks:Restaurants,-3.58
2022-01-20,Panda Express,Dining & Drinks:Restaurants,-2.58
2022-01-20,Chevron,Auto & Transport:Gas & Fuel,-47.92
2022-01-20,Panda Express,Dining & Drinks:Restaurants,-10.24
2022-01-21,QFC Foods,Groceries,-9.38
2022-01-21,PCC Market,Groceries,-10.18
2022-01-21,Timber Consulting,Personal Income:Paycheck,6536.81
2022-01-21,Belle Pastry,Dining & Drinks:Restaurants,-2.55
2022-01-21,Starbucks,Dining & Drinks:Restaurants,-3.8
2022-01-21,Panda Express,Dining & Drinks:Restaurants,-11.79
2022-01-24,Mod Pizza,Dining & Drinks:Restaurants,-25.21
2022-01-24,Haidilao Hot Pot Belle Bellevue Wa           01/23,Uncategorized,-133.61
2022-01-24,Panda Express,Dining & Drinks:Restaurants,-11.79
2022-01-24,Earls,Dining & Drinks:Restaurants,-25.0
2022-01-24,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-01-24,Chipotle,Dining & Drinks:Restaurants,-18.94
2022-01-24,Chipotle,Dining & Drinks:Restaurants,-29.89
2022-01-25,PCC Market,Groceries,-2.69
2022-01-25,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-01-25,Huel,Dining & Drinks:Restaurants,-98.5
2022-01-25,Chase Mortgage,Home:Mortgage,-1279.44
2022-01-25,Eqt*kfhp Of Wa. 800-2908900 Wa               01/24,Uncategorized,-30.0
2022-01-26,Premier Periodontics B 425-4552020 Wa        01/24,Uncategorized,-255.0
2022-01-26,Elizabeth Cleaning,Cleaning,-100.0
2022-01-26,Dentegra         Premium    466984402026    Web Id: 4942761537,Uncategorized,-65.37
2022-01-26,Panda Express,Dining & Drinks:Restaurants,-13.1
2022-01-27,Online Transfer From Chk ...5583 Transaction#: 13536269290,Uncategorized,6000.0
2022-01-27,PCC Market,Groceries,-6.99
2022-01-28,QFC Foods,Groceries,-3.91
